Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
Canada,North America,University of Toronto,Bachelor,Engineering,2022,83.8,87.2,60100,Manufacturing/Construction,Mechanical Engineer,AutoCAD,MATLAB,Lean Six Sigma,78,56.8,77,2022
UAE,Middle East & Africa,Khalifa University,PhD,Data Science & AI,2020,89.5,94.6,123200,Technology/Consulting,NLP Specialist,R,NLP,Data Visualization,90,49.5,65,2020
Switzerland,Europe,EPFL,Master,Data Science & AI,2021,90.1,98.0,125500,Technology/Consulting,NLP Specialist,Machine Learning,Big Data,Deep Learning,79,50.8,63,2021
Mexico,Latin America,UNAM,Bachelor,Business & Finance,2022,80.8,83.8,26900,Finance/Consulting,Marketing Manager,Financial Modeling,Data Analysis,Market Research,54,40.0,57,2022
Switzerland,Europe,EPFL,Master,Computer Science,2017,97.9,100.0,109000,Technology,Cybersecurity Analyst,React,DevOps,SQL,79,9.4,81,2017
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Data Science & AI,2022,99.0,100.0,83900,Technology/Consulting,Data Analyst,Deep Learning,Data Visualization,Machine Learning,97,68.7,81,2022
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Engineering,2017,84.6,89.4,47700,Manufacturing/Construction,Robotics Engineer,Project Management,MATLAB,SolidWorks,49,5.0,69,2017
Canada,North America,McGill University,Master,Business & Finance,2017,74.7,76.8,71500,Finance/Consulting,Financial Analyst,Data Analysis,Market Research,Financial Modeling,58,14.4,72,2017
Canada,North America,UBC,Bachelor,Computer Science,2022,89.6,94.5,74800,Technology,Data Scientist,DevOps,Python,Cloud Computing,74,44.4,97,2022
Canada,North America,University of Toronto,Master,Healthcare & Medicine,2018,84.3,89.6,85500,Healthcare,Pharmacist,Clinical Research,Medical Coding,Patient Care,54,8.6,63,2018
Netherlands,Europe,University of Amsterdam,Master,Computer Science,2019,95.3,100.0,76200,Technology,Cloud Architect,DevOps,Cloud Computing,SQL,76,9.2,84,2019
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Engineering,2021,80.4,85.3,67300,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,Project Management,AutoCAD,65,45.3,82,2021
Australia,Asia-Pacific,University of Melbourne,Master,Social Sciences,2024,79.2,85.4,63200,Government/NGO,Policy Analyst,Qualitative Research,Data Analysis,Public Policy,56,64.3,70,2024
Australia,Asia-Pacific,University of Melbourne,PhD,Engineering,2024,76.5,83.0,105200,Manufacturing/Construction,Mechanical Engineer,AutoCAD,Project Management,SolidWorks,65,90.0,51,2024
Mexico,Latin America,UNAM,Master,Computer Science,2015,93.2,95.9,24300,Technology,Data Scientist,Cloud Computing,Python,DevOps,80,12.6,45,2015
UAE,Middle East & Africa,Khalifa University,PhD,Business & Finance,2017,84.9,88.7,91100,Finance/Consulting,Marketing Manager,Strategic Planning,Market Research,Data Analysis,39,11.4,100,2017
USA,North America,MIT,Bachelor,Healthcare & Medicine,2016,97.8,100.0,68900,Healthcare,Medical Doctor,Diagnostics,Medical Coding,Patient Care,54,13.9,69,2016
Mexico,Latin America,UNAM,PhD,Healthcare & Medicine,2023,96.6,100.0,40300,Healthcare,Public Health Specialist,Medical Coding,Diagnostics,Patient Care,69,64.8,67,2023
Israel,Middle East & Africa,Technion,Master,Engineering,2017,81.9,85.7,84800,Manufacturing/Construction,Mechanical Engineer,AutoCAD,SolidWorks,Lean Six Sigma,42,5.0,75,2017
Australia,Asia-Pacific,University of Sydney,Master,Business & Finance,2020,79.3,84.2,85800,Finance/Consulting,Investment Banker,Market Research,Financial Modeling,Excel,48,41.3,77,2020
Canada,North America,University of Toronto,Master,Engineering,2025,89.7,93.0,83700,Manufacturing/Construction,Mechanical Engineer,MATLAB,SolidWorks,AutoCAD,72,90.0,68,2025
Brazil,Latin America,University of São Paulo,Bachelor,Healthcare & Medicine,2022,82.9,90.6,28700,Healthcare,Biomedical Researcher,Medical Coding,Patient Care,Diagnostics,62,65.4,80,2022
Brazil,Latin America,University of São Paulo,PhD,Data Science & AI,2024,92.0,99.7,49100,Technology/Consulting,Machine Learning Engineer,Data Visualization,Deep Learning,NLP,76,90.0,58,2024
USA,North America,Georgia Tech,PhD,Social Sciences,2024,83.7,93.1,91700,Government/NGO,Policy Analyst,Public Policy,Qualitative Research,Data Analysis,48,78.6,77,2024
USA,North America,MIT,Master,Computer Science,2021,93.2,96.7,98700,Technology,Data Scientist,DevOps,Cloud Computing,Java,76,48.5,53,2021
Canada,North America,University of Toronto,PhD,Engineering,2021,81.1,85.1,98000,Manufacturing/Construction,Robotics Engineer,AutoCAD,Project Management,Lean Six Sigma,65,31.8,66,2021
South Africa,Middle East & Africa,University of Cape Town,PhD,Computer Science,2015,87.6,95.1,53800,Technology,Software Engineer,Cloud Computing,React,Cybersecurity,70,7.0,50,2015
Netherlands,Europe,TU Delft,PhD,Data Science & AI,2019,99.0,100.0,103700,Technology/Consulting,Data Analyst,R,Big Data,NLP,77,15.1,75,2019
Singapore,Asia-Pacific,NTU,Bachelor,Social Sciences,2024,80.5,88.5,50100,Government/NGO,Sociologist,Public Policy,Data Analysis,Qualitative Research,67,52.6,75,2024
Switzerland,Europe,ETH Zurich,Bachelor,Data Science & AI,2020,80.9,82.5,98500,Technology/Consulting,Machine Learning Engineer,Machine Learning,Data Visualization,R,89,32.7,56,2020
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Computer Science,2025,89.8,95.0,106300,Technology,Cybersecurity Analyst,React,Cloud Computing,DevOps,87,78.0,62,2025
UK,Europe,Cambridge,PhD,Engineering,2021,83.2,88.0,94700,Manufacturing/Construction,Robotics Engineer,AutoCAD,Lean Six Sigma,MATLAB,81,57.3,82,2021
Switzerland,Europe,EPFL,Master,Data Science & AI,2016,92.4,96.5,109600,Technology/Consulting,AI Consultant,Deep Learning,Big Data,R,79,9.4,73,2016
UK,Europe,Imperial College London,Master,Engineering,2015,81.2,92.0,61300,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,Project Management,AutoCAD,43,6.6,80,2015
Israel,Middle East & Africa,Hebrew University of Jerusalem,PhD,Computer Science,2025,91.5,94.4,124700,Technology,AI Researcher,Cybersecurity,DevOps,Cloud Computing,94,90.0,65,2025
Israel,Middle East & Africa,Technion,PhD,Data Science & AI,2015,83.7,87.3,106500,Technology/Consulting,Machine Learning Engineer,Big Data,NLP,Deep Learning,68,5.0,43,2015
Mexico,Latin America,UNAM,Master,Social Sciences,2016,84.7,92.3,16500,Government/NGO,Policy Analyst,Data Analysis,Qualitative Research,Public Policy,46,13.7,79,2016
Germany,Europe,Humboldt University,Master,Engineering,2021,79.5,80.9,82800,Manufacturing/Construction,Civil Engineer,SolidWorks,AutoCAD,Project Management,62,39.9,59,2021
Canada,North America,UBC,Bachelor,Social Sciences,2019,78.3,83.6,43200,Government/NGO,Sociologist,Public Policy,Communication,Data Analysis,65,8.2,75,2019
Sweden,Europe,KTH Royal Institute of Technology,PhD,Engineering,2019,87.7,92.3,87200,Manufacturing/Construction,Robotics Engineer,AutoCAD,Project Management,Lean Six Sigma,57,8.1,67,2019
Germany,Europe,Humboldt University,Bachelor,Business & Finance,2020,75.6,82.1,58400,Finance/Consulting,Investment Banker,Excel,Financial Modeling,Data Analysis,49,36.8,85,2020
Japan,Asia-Pacific,Kyoto University,Bachelor,Data Science & AI,2023,94.1,98.0,61600,Technology/Consulting,Data Analyst,R,Deep Learning,Machine Learning,75,54.1,89,2023
India,Asia-Pacific,IIT Delhi,Bachelor,Social Sciences,2024,83.7,86.7,12600,Government/NGO,Sociologist,Communication,Qualitative Research,Data Analysis,81,90.0,44,2024
USA,North America,Georgia Tech,Master,Social Sciences,2016,85.1,91.1,54800,Government/NGO,Policy Analyst,Communication,Qualitative Research,Data Analysis,59,7.1,99,2016
South Africa,Middle East & Africa,University of Cape Town,Master,Business & Finance,2020,75.2,79.7,37300,Finance/Consulting,Marketing Manager,Strategic Planning,Financial Modeling,Data Analysis,47,55.9,60,2020
Canada,North America,McGill University,PhD,Engineering,2019,80.6,84.4,95100,Manufacturing/Construction,Mechanical Engineer,MATLAB,AutoCAD,Lean Six Sigma,38,13.0,89,2019
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,2016,72.3,78.9,31500,Government/NGO,Sociologist,Public Policy,Communication,Data Analysis,35,16.1,56,2016
Mexico,Latin America,UNAM,Bachelor,Social Sciences,2024,81.2,84.2,12800,Government/NGO,Economist,Qualitative Research,Public Policy,Communication,60,83.5,40,2024
Mexico,Latin America,UNAM,Master,Healthcare & Medicine,2025,91.5,93.9,42900,Healthcare,Biomedical Researcher,Diagnostics,Medical Coding,Clinical Research,59,90.0,79,2025
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Healthcare & Medicine,2021,86.6,92.2,39800,Healthcare,Medical Doctor,Clinical Research,Medical Coding,Patient Care,66,57.0,86,2021
USA,North America,Georgia Tech,PhD,Computer Science,2024,92.4,96.2,134200,Technology,Data Scientist,SQL,Java,Cloud Computing,87,87.0,45,2024
Singapore,Asia-Pacific,NUS,Master,Computer Science,2021,85.6,89.9,99100,Technology,Cloud Architect,DevOps,React,Java,94,53.3,75,2021
France,Europe,Ecole Polytechnique,Bachelor,Engineering,2019,74.8,81.7,45200,Manufacturing/Construction,Electrical Engineer,Lean Six Sigma,Project Management,AutoCAD,52,7.5,84,2019
Netherlands,Europe,University of Amsterdam,Bachelor,Social Sciences,2023,81.3,86.4,42100,Government/NGO,Policy Analyst,Data Analysis,Qualitative Research,Communication,65,64.8,61,2023
Israel,Middle East & Africa,Hebrew University of Jerusalem,Master,Engineering,2019,83.7,87.3,71200,Manufacturing/Construction,Civil Engineer,Project Management,Lean Six Sigma,SolidWorks,67,8.9,54,2019
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Business & Finance,2019,77.9,85.0,27300,Finance/Consulting,Management Consultant,Strategic Planning,Excel,Financial Modeling,54,8.6,91,2019
Switzerland,Europe,EPFL,PhD,Data Science & AI,2022,99.0,100.0,171400,Technology/Consulting,NLP Specialist,NLP,Machine Learning,Deep Learning,75,69.9,92,2022
Israel,Middle East & Africa,Hebrew University of Jerusalem,Master,Engineering,2020,86.2,93.1,86600,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,AutoCAD,Project Management,56,31.6,64,2020
China,Asia-Pacific,Peking University,Master,Computer Science,2023,98.0,100.0,43900,Technology,Software Engineer,Cybersecurity,Java,Python,98,57.7,86,2023
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Healthcare & Medicine,2023,83.6,91.8,32400,Healthcare,Public Health Specialist,Diagnostics,Clinical Research,Patient Care,77,72.1,70,2023
Israel,Middle East & Africa,Hebrew University of Jerusalem,PhD,Business & Finance,2021,84.0,87.4,111000,Finance/Consulting,Investment Banker,Data Analysis,Excel,Strategic Planning,57,69.6,100,2021
Argentina,Latin America,University of Buenos Aires,Master,Social Sciences,2025,83.6,88.0,27400,Government/NGO,Policy Analyst,Public Policy,Qualitative Research,Data Analysis,62,82.7,61,2025
Australia,Asia-Pacific,University of Sydney,Bachelor,Computer Science,2015,99.0,100.0,70200,Technology,AI Researcher,SQL,Java,Cybersecurity,60,14.5,66,2015
Brazil,Latin America,University of São Paulo,Master,Business & Finance,2020,82.7,86.0,21300,Finance/Consulting,Management Consultant,Data Analysis,Market Research,Excel,51,37.5,62,2020
Canada,North America,University of Toronto,PhD,Social Sciences,2023,82.6,83.8,80400,Government/NGO,Human Resources Specialist,Data Analysis,Public Policy,Communication,81,60.2,55,2023
Argentina,Latin America,University of Buenos Aires,Master,Healthcare & Medicine,2025,90.7,98.6,27200,Healthcare,Biomedical Researcher,Patient Care,Clinical Research,Diagnostics,72,90.0,74,2025
Australia,Asia-Pacific,ANU,Master,Healthcare & Medicine,2023,92.8,93.9,99100,Healthcare,Public Health Specialist,Medical Coding,Clinical Research,Patient Care,63,81.6,100,2023
Canada,North America,McGill University,Master,Natural Sciences,2024,83.4,87.2,66400,Research/Academia,Biologist,Statistical Analysis,Experimental Design,Scientific Writing,88,66.5,79,2024
USA,North America,Harvard,Bachelor,Natural Sciences,2023,78.4,83.3,59200,Research/Academia,Chemist,Experimental Design,Laboratory Skills,Statistical Analysis,76,59.2,79,2023
South Korea,Asia-Pacific,Seoul National University,Master,Computer Science,2017,92.6,99.5,57000,Technology,Cloud Architect,Cloud Computing,Python,Java,61,14.1,61,2017
Singapore,Asia-Pacific,NTU,Master,Social Sciences,2017,82.9,87.5,64400,Government/NGO,Human Resources Specialist,Data Analysis,Qualitative Research,Public Policy,48,14.1,88,2017
Switzerland,Europe,EPFL,PhD,Engineering,2021,77.3,83.7,136000,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,AutoCAD,MATLAB,47,36.9,54,2021
France,Europe,Ecole Polytechnique,Bachelor,Computer Science,2016,83.3,84.4,48900,Technology,Cybersecurity Analyst,Python,SQL,Java,60,13.2,50,2016
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Natural Sciences,2024,89.7,94.6,59700,Research/Academia,Biologist,Statistical Analysis,Laboratory Skills,Experimental Design,71,70.5,100,2024
Sweden,Europe,Karolinska Institute,Master,Data Science & AI,2023,90.1,97.7,87900,Technology/Consulting,Data Analyst,Data Visualization,NLP,Machine Learning,84,70.5,65,2023
Mexico,Latin America,UNAM,Bachelor,Computer Science,2018,91.9,98.0,20300,Technology,AI Researcher,React,DevOps,Java,69,6.2,60,2018
Singapore,Asia-Pacific,NTU,Bachelor,Social Sciences,2024,72.0,77.6,50900,Government/NGO,Economist,Communication,Qualitative Research,Data Analysis,77,88.7,40,2024
UK,Europe,Oxford,PhD,Engineering,2018,77.5,82.8,83400,Manufacturing/Construction,Robotics Engineer,Project Management,MATLAB,Lean Six Sigma,51,13.0,69,2018
Canada,North America,UBC,PhD,Computer Science,2022,88.2,93.2,100900,Technology,AI Researcher,Java,Python,DevOps,84,45.9,46,2022
Japan,Asia-Pacific,Kyoto University,Master,Business & Finance,2017,74.2,75.9,59000,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Market Research,49,7.6,56,2017
Mexico,Latin America,UNAM,PhD,Computer Science,2023,93.1,96.6,36600,Technology,Cybersecurity Analyst,Cybersecurity,SQL,React,86,66.2,72,2023
Mexico,Latin America,UNAM,Master,Healthcare & Medicine,2019,95.4,100.0,33400,Healthcare,Public Health Specialist,Medical Coding,Diagnostics,Clinical Research,66,11.2,63,2019
South Africa,Middle East & Africa,University of Cape Town,PhD,Data Science & AI,2018,88.6,93.6,48100,Technology/Consulting,Machine Learning Engineer,Data Visualization,NLP,R,82,6.4,69,2018
Netherlands,Europe,University of Amsterdam,Master,Business & Finance,2023,82.3,86.2,76700,Finance/Consulting,Management Consultant,Data Analysis,Excel,Financial Modeling,58,63.2,77,2023
UK,Europe,LSE,Master,Business & Finance,2020,79.1,84.6,72800,Finance/Consulting,Marketing Manager,Financial Modeling,Excel,Data Analysis,55,51.3,55,2020
India,Asia-Pacific,IIT Delhi,Bachelor,Computer Science,2020,83.0,87.3,22000,Technology,Data Scientist,SQL,DevOps,Java,63,47.5,81,2020
USA,North America,MIT,PhD,Social Sciences,2015,83.1,86.4,78700,Government/NGO,Human Resources Specialist,Communication,Data Analysis,Public Policy,41,17.7,91,2015
South Korea,Asia-Pacific,KAIST,PhD,Healthcare & Medicine,2017,90.4,98.2,76500,Healthcare,Public Health Specialist,Patient Care,Medical Coding,Diagnostics,47,11.1,90,2017
India,Asia-Pacific,IISc Bangalore,Master,Social Sciences,2025,85.4,91.4,19400,Government/NGO,Sociologist,Data Analysis,Qualitative Research,Public Policy,69,80.1,59,2025
Germany,Europe,Humboldt University,Bachelor,Business & Finance,2021,72.9,78.1,65600,Finance/Consulting,Management Consultant,Financial Modeling,Market Research,Data Analysis,67,59.9,49,2021
Brazil,Latin America,University of São Paulo,Bachelor,Computer Science,2018,98.5,100.0,31800,Technology,AI Researcher,SQL,Cloud Computing,Cybersecurity,65,8.4,69,2018
Brazil,Latin America,University of São Paulo,PhD,Social Sciences,2024,83.1,88.7,35500,Government/NGO,Policy Analyst,Data Analysis,Qualitative Research,Public Policy,67,82.7,63,2024
UAE,Middle East & Africa,Khalifa University,PhD,Engineering,2022,80.1,89.0,99500,Manufacturing/Construction,Mechanical Engineer,MATLAB,SolidWorks,Project Management,78,65.6,89,2022
Singapore,Asia-Pacific,NTU,Master,Business & Finance,2021,82.2,84.1,93700,Finance/Consulting,Marketing Manager,Financial Modeling,Data Analysis,Excel,59,46.6,53,2021
Canada,North America,UBC,Master,Social Sciences,2024,83.7,89.4,57400,Government/NGO,Economist,Data Analysis,Qualitative Research,Communication,56,72.5,87,2024
UAE,Middle East & Africa,Khalifa University,PhD,Engineering,2020,83.9,88.5,91000,Manufacturing/Construction,Electrical Engineer,SolidWorks,MATLAB,Lean Six Sigma,65,31.4,71,2020
USA,North America,Harvard,PhD,Engineering,2018,84.2,89.3,106600,Manufacturing/Construction,Civil Engineer,Project Management,AutoCAD,MATLAB,59,21.0,100,2018
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Data Science & AI,2015,79.7,85.8,63800,Technology/Consulting,Data Analyst,R,NLP,Data Visualization,71,15.3,74,2015
Israel,Middle East & Africa,Technion,Bachelor,Computer Science,2019,95.6,100.0,67100,Technology,Data Scientist,Python,Cloud Computing,SQL,64,5.9,68,2019
Canada,North America,McGill University,Bachelor,Data Science & AI,2022,88.9,94.7,75200,Technology/Consulting,Data Analyst,R,Data Visualization,Deep Learning,93,77.2,78,2022
UAE,Middle East & Africa,Khalifa University,Master,Social Sciences,2023,80.5,85.4,58700,Government/NGO,Human Resources Specialist,Communication,Public Policy,Qualitative Research,71,73.9,100,2023
Japan,Asia-Pacific,University of Tokyo,Bachelor,Engineering,2020,81.9,91.6,46800,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,MATLAB,Project Management,54,41.5,55,2020
USA,North America,Stanford,PhD,Business & Finance,2025,79.1,86.2,136400,Finance/Consulting,Marketing Manager,Strategic Planning,Excel,Financial Modeling,71,80.6,82,2025
Mexico,Latin America,UNAM,Master,Data Science & AI,2016,96.0,98.7,28500,Technology/Consulting,AI Consultant,Deep Learning,Machine Learning,NLP,75,13.9,63,2016
USA,North America,MIT,Bachelor,Data Science & AI,2023,89.8,97.2,84300,Technology/Consulting,NLP Specialist,R,Deep Learning,NLP,97,65.7,50,2023
Australia,Asia-Pacific,University of Melbourne,Master,Engineering,2024,78.9,84.8,86700,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,MATLAB,SolidWorks,66,72.5,86,2024
Canada,North America,UBC,PhD,Data Science & AI,2020,95.2,96.7,113400,Technology/Consulting,AI Consultant,Big Data,NLP,Machine Learning,55,25.6,62,2020
USA,North America,Georgia Tech,Master,Data Science & AI,2020,79.5,87.7,106500,Technology/Consulting,NLP Specialist,Big Data,Machine Learning,Data Visualization,81,53.6,56,2020
Australia,Asia-Pacific,University of Melbourne,Bachelor,Healthcare & Medicine,2018,90.4,97.1,70100,Healthcare,Public Health Specialist,Clinical Research,Medical Coding,Diagnostics,53,12.4,86,2018
UAE,Middle East & Africa,Khalifa University,PhD,Computer Science,2018,94.2,95.4,94800,Technology,Cybersecurity Analyst,Cybersecurity,Python,Cloud Computing,83,19.8,51,2018
France,Europe,PSL University,PhD,Healthcare & Medicine,2017,97.4,100.0,87100,Healthcare,Public Health Specialist,Medical Coding,Clinical Research,Diagnostics,55,8.0,63,2017
Israel,Middle East & Africa,Technion,Bachelor,Natural Sciences,2024,80.2,82.8,60900,Research/Academia,Biologist,Laboratory Skills,Experimental Design,Scientific Writing,67,90.0,63,2024
Netherlands,Europe,TU Delft,Master,Computer Science,2016,90.5,94.1,61800,Technology,Software Engineer,Cloud Computing,React,DevOps,58,10.7,59,2016
Germany,Europe,TU Munich,Master,Social Sciences,2020,82.0,84.0,54500,Government/NGO,Policy Analyst,Communication,Public Policy,Data Analysis,42,46.7,41,2020
India,Asia-Pacific,IIT Bombay,Bachelor,Computer Science,2019,81.0,85.0,17400,Technology,Cybersecurity Analyst,Cloud Computing,Python,DevOps,82,10.6,100,2019
UAE,Middle East & Africa,Khalifa University,Bachelor,Healthcare & Medicine,2021,85.3,88.0,75200,Healthcare,Public Health Specialist,Medical Coding,Diagnostics,Patient Care,89,60.6,78,2021
South Korea,Asia-Pacific,KAIST,PhD,Natural Sciences,2021,84.4,86.4,65300,Research/Academia,Biologist,Statistical Analysis,Scientific Writing,Experimental Design,63,50.7,56,2021
China,Asia-Pacific,Fudan University,PhD,Engineering,2024,90.6,95.3,60500,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,AutoCAD,SolidWorks,88,62.6,62,2024
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Computer Science,2021,84.0,87.3,23800,Technology,Cloud Architect,Cloud Computing,React,Python,85,52.7,59,2021
USA,North America,UC Berkeley,Bachelor,Social Sciences,2021,87.4,91.8,44700,Government/NGO,Policy Analyst,Data Analysis,Communication,Public Policy,50,52.7,73,2021
USA,North America,Stanford,PhD,Data Science & AI,2017,93.7,96.4,119800,Technology/Consulting,Data Analyst,NLP,Machine Learning,Data Visualization,81,5.0,60,2017
Argentina,Latin America,University of Buenos Aires,Bachelor,Social Sciences,2016,86.0,94.2,15300,Government/NGO,Economist,Data Analysis,Qualitative Research,Communication,62,8.4,46,2016
Argentina,Latin America,University of Buenos Aires,Bachelor,Computer Science,2023,96.9,100.0,27900,Technology,Cybersecurity Analyst,Java,React,Cloud Computing,95,66.7,92,2023
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,2024,99.0,100.0,76700,Technology/Consulting,NLP Specialist,Deep Learning,NLP,R,100,75.4,76,2024
Germany,Europe,Humboldt University,PhD,Business & Finance,2015,87.2,94.0,81200,Finance/Consulting,Investment Banker,Strategic Planning,Market Research,Financial Modeling,73,12.4,80,2015
Canada,North America,McGill University,PhD,Data Science & AI,2024,95.7,99.9,124500,Technology/Consulting,Data Analyst,Data Visualization,Deep Learning,R,89,81.7,64,2024
Israel,Middle East & Africa,Technion,Bachelor,Healthcare & Medicine,2020,88.1,92.4,72000,Healthcare,Biomedical Researcher,Clinical Research,Patient Care,Medical Coding,70,41.8,75,2020
Canada,North America,UBC,PhD,Natural Sciences,2025,85.1,91.2,88200,Research/Academia,Environmental Scientist,Laboratory Skills,Scientific Writing,Experimental Design,66,90.0,40,2025
Canada,North America,University of Toronto,Master,Healthcare & Medicine,2015,94.8,100.0,77000,Healthcare,Medical Doctor,Patient Care,Clinical Research,Diagnostics,51,12.8,83,2015
Mexico,Latin America,UNAM,Master,Data Science & AI,2022,92.7,97.4,29300,Technology/Consulting,Machine Learning Engineer,Data Visualization,Big Data,R,73,67.2,61,2022
UAE,Middle East & Africa,Khalifa University,Bachelor,Social Sciences,2023,77.3,80.7,42800,Government/NGO,Sociologist,Communication,Qualitative Research,Data Analysis,76,71.5,90,2023
UK,Europe,Oxford,Master,Data Science & AI,2025,95.6,100.0,92800,Technology/Consulting,Data Analyst,R,Data Visualization,Deep Learning,93,90.0,80,2025
Israel,Middle East & Africa,Hebrew University of Jerusalem,PhD,Business & Finance,2020,85.9,91.5,98500,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Financial Modeling,57,31.2,80,2020
Argentina,Latin America,University of Buenos Aires,Master,Social Sciences,2017,91.9,97.1,10600,Government/NGO,Policy Analyst,Qualitative Research,Communication,Public Policy,41,7.4,65,2017
USA,North America,Georgia Tech,Master,Computer Science,2019,86.8,91.6,104900,Technology,Cybersecurity Analyst,DevOps,Cybersecurity,Cloud Computing,72,12.5,62,2019
USA,North America,Stanford,PhD,Computer Science,2018,92.0,96.4,109700,Technology,Cloud Architect,Cloud Computing,Python,SQL,70,7.3,87,2018
South Africa,Middle East & Africa,University of Cape Town,PhD,Engineering,2024,77.3,81.4,48900,Manufacturing/Construction,Mechanical Engineer,MATLAB,Lean Six Sigma,AutoCAD,68,66.6,94,2024
South Korea,Asia-Pacific,Seoul National University,Master,Engineering,2019,88.4,94.2,59700,Manufacturing/Construction,Civil Engineer,SolidWorks,Project Management,MATLAB,37,17.7,57,2019
South Africa,Middle East & Africa,University of Cape Town,PhD,Business & Finance,2022,83.8,91.5,45900,Finance/Consulting,Management Consultant,Strategic Planning,Financial Modeling,Excel,74,69.1,65,2022
Germany,Europe,Humboldt University,PhD,Business & Finance,2022,84.7,89.5,104200,Finance/Consulting,Marketing Manager,Financial Modeling,Excel,Data Analysis,72,68.3,78,2022
Israel,Middle East & Africa,Hebrew University of Jerusalem,Master,Social Sciences,2025,81.9,86.7,58100,Government/NGO,Sociologist,Qualitative Research,Communication,Public Policy,71,82.5,50,2025
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Engineering,2023,81.2,87.4,94300,Manufacturing/Construction,Civil Engineer,AutoCAD,Lean Six Sigma,MATLAB,59,84.2,85,2023
Germany,Europe,Heidelberg University,Bachelor,Computer Science,2021,88.9,95.6,68500,Technology,Cybersecurity Analyst,Cybersecurity,SQL,Cloud Computing,85,52.4,85,2021
South Africa,Middle East & Africa,University of Cape Town,Master,Business & Finance,2025,75.0,77.9,49600,Finance/Consulting,Marketing Manager,Data Analysis,Financial Modeling,Excel,62,75.0,69,2025
Japan,Asia-Pacific,University of Tokyo,Master,Data Science & AI,2019,91.1,95.1,73400,Technology/Consulting,AI Consultant,Big Data,R,Data Visualization,89,10.7,75,2019
UK,Europe,Cambridge,Master,Social Sciences,2018,80.6,89.8,56900,Government/NGO,Sociologist,Public Policy,Qualitative Research,Communication,51,20.0,55,2018
Australia,Asia-Pacific,ANU,Bachelor,Healthcare & Medicine,2024,86.8,94.0,83300,Healthcare,Public Health Specialist,Diagnostics,Patient Care,Medical Coding,63,82.9,60,2024
USA,North America,Harvard,PhD,Business & Finance,2025,79.7,88.1,140700,Finance/Consulting,Management Consultant,Strategic Planning,Data Analysis,Market Research,60,76.5,84,2025
USA,North America,Georgia Tech,PhD,Business & Finance,2021,83.0,87.3,117900,Finance/Consulting,Management Consultant,Excel,Market Research,Financial Modeling,48,49.2,88,2021
Israel,Middle East & Africa,Hebrew University of Jerusalem,Master,Computer Science,2020,92.4,99.6,91100,Technology,AI Researcher,SQL,React,DevOps,69,36.7,75,2020
Canada,North America,McGill University,PhD,Healthcare & Medicine,2021,91.8,94.4,111000,Healthcare,Medical Doctor,Patient Care,Medical Coding,Clinical Research,41,58.2,73,2021
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Healthcare & Medicine,2017,90.8,94.4,92000,Healthcare,Biomedical Researcher,Clinical Research,Diagnostics,Patient Care,54,14.3,66,2017
USA,North America,Harvard,PhD,Business & Finance,2025,78.0,82.6,140000,Finance/Consulting,Financial Analyst,Strategic Planning,Market Research,Data Analysis,69,90.0,73,2025
Switzerland,Europe,EPFL,PhD,Natural Sciences,2018,76.3,81.5,118400,Research/Academia,Environmental Scientist,Scientific Writing,Experimental Design,Laboratory Skills,57,13.1,57,2018
Mexico,Latin America,UNAM,PhD,Social Sciences,2023,83.1,85.9,36800,Government/NGO,Policy Analyst,Communication,Qualitative Research,Public Policy,65,66.9,100,2023
UAE,Middle East & Africa,Khalifa University,Bachelor,Natural Sciences,2018,80.2,85.0,53800,Research/Academia,Physicist,Statistical Analysis,Experimental Design,Laboratory Skills,65,15.0,40,2018
